author,year,area,Journal,method,species,pollutant,p_type1,p_type2.x,Nc,Mc,Sc,Ne,Me,Se,land_use_c,land_use_e,other_param,comment,stulab,stuid,areaid,independent,caseid,obid_l1,obid_l2,obid_l3,caselab,caseid2,obid_l1_2,oblab,p_type2,es_adj,var_adj,es_nadj,var_nadj,shared.T,se_adj,se_nadj
Federica,2015,"Siena,Italy",Urban Climate,Passive sampler,NA,O3,O3,g,20,41.6,4.7,20,35.9,4.6,open field,under tree canopy,mug,"10M to traffic road,average of 5 month",54_Federica_2015,54,NA,TRUE,6,135,18,67,54_Federica_2015_case6,case6,obs.135,Federica_2015_obs.135,g,-0.147362872,0.001459145,-0.147362872,0.001459145,FALSE,0.038198757,0.038198757
Yli-Pelkonen,2018,"Yanji,China",Atmospheric Environment,Passive sampler,NA,NO2,NOX,g,6,20.7,6.5,6,20.3,5.9,open area,under tree cover,mug,experimental sites located in urban park,56_Yli-Pelkonen_2018,56,NA,TRUE,3,138,41,68,56_Yli-Pelkonen_2018_case3,case3,obs.138,Yli-Pelkonen_2018_obs.138,g,-0.019512814,0.030512318,-0.019512814,0.030512318,FALSE,0.174677754,0.174677754
Yli-Pelkonen,2018,"Yanji,China",Atmospheric Environment,Passive sampler,NA,SO2,SO2,g,6,2.6,1.2,6,2.1,0.9,open area,under tree cover,mug,experimental sites located in urban park,56_Yli-Pelkonen_2018,56,NA,TRUE,4,139,10,69,56_Yli-Pelkonen_2018_case4,case4,obs.139,Yli-Pelkonen_2018_obs.139,g,-0.2135741,0.066115203,-0.2135741,0.066115203,FALSE,0.257128768,0.257128768
Yli-Pelkonen,2018,"Yanji,China",Atmospheric Environment,Passive sampler,NA,O3,O3,g,6,73.7,4.9,6,69.1,4.9,open area,under tree cover,mug,experimental sites located in urban park,56_Yli-Pelkonen_2018,56,NA,TRUE,5,140,19,70,56_Yli-Pelkonen_2018_case5,case5,obs.140,Yli-Pelkonen_2018_obs.140,g,-0.064448068,0.001574805,-0.064448068,0.001574805,FALSE,0.039683808,0.039683808
Jesus M.Mesanza,1997,Spain,Journal of Environmental Science & health part a,Pollutant analyzer,NA,O3,O3,g,149,16,7.2,150,21.5,9.5,urban,forests,ppb,NA,6_Jesus M.Mesanza_1997,6,NA,TRUE,1,141,20,71,6_Jesus M.Mesanza_1997_case1,case1,obs.141,Jesus M.Mesanza_1997_obs.141,g,0.295464213,0.002660665,0.295464213,0.002660665,FALSE,0.051581633,0.051581633
Masaaki,2008,"Hiroshima,Japan",Environmental Monitoring And Assessment,Passive sampler,NA,SO2,SO2,g,3,2.22,0.41,3,1.19,0.17,uban,mountain,mug,winter,8_Masaaki_2008,8,NA,TRUE,1,142,11,72,8_Masaaki_2008_case1,case1,obs.142,Masaaki_2008_obs.142,g,-0.623553889,0.018172199,-0.623553889,0.018172199,FALSE,0.134804298,0.134804298
Masaaki,2008,"Hiroshima,Japan",Environmental Monitoring And Assessment,Passive sampler,NA,SO2,SO2,g,3,3.55,1.8,3,1.6,1.08,uban,mountain,mug,spring,8_Masaaki_2008,8,NA,TRUE,2,143,12,73,8_Masaaki_2008_case2,case2,obs.143,Masaaki_2008_obs.143,g,-0.796943974,0.237572282,-0.796943974,0.237572282,FALSE,0.487413872,0.487413872
Masaaki,2008,"Hiroshima,Japan",Environmental Monitoring And Assessment,Passive sampler,NA,SO2,SO2,g,3,2.82,1.33,3,1.06,0.37,uban,mountain,mug,summer,8_Masaaki_2008,8,NA,TRUE,3,144,13,74,8_Masaaki_2008_case3,case3,obs.144,Masaaki_2008_obs.144,g,-0.978467977,0.114758836,-0.978467977,0.114758836,FALSE,0.338760735,0.338760735
Masaaki,2008,"Hiroshima,Japan",Environmental Monitoring And Assessment,Passive sampler,NA,SO2,SO2,g,3,1.44,0.81,3,0.85,0.6,uban,mountain,mug,fall,8_Masaaki_2008,8,NA,TRUE,4,145,14,75,8_Masaaki_2008_case4,case4,obs.145,Masaaki_2008_obs.145,g,-0.527162043,0.271558715,-0.527162043,0.271558715,FALSE,0.521112958,0.521112958
Tanner,2010,"Springfield, USA",Environmental Pollution,Passive sampler,NA,NO2,NOX,g,5,8,1.3,5,9.9,1.4,outside tree,under tree,ppb,NA,9_Tanner_2010,9,NA,TRUE,1,146,42,76,9_Tanner_2010_case1,case1,obs.146,Tanner_2010_obs.146,g,0.213093215,0.009280842,0.213093215,0.009280842,FALSE,0.096337126,0.096337126
Tanner,2010,"Springfield, USA",Environmental Pollution,Passive sampler,NA,O3,O3,g,5,27.2,5.7,5,21.1,2.5,outside tree,under tree,ppb,NA,9_Tanner_2010,9,NA,TRUE,2,147,21,77,9_Tanner_2010_case2,case2,obs.147,Tanner_2010_obs.147,g,-0.253943933,0.011590644,-0.253943933,0.011590644,FALSE,0.107659853,0.107659853
W. Kuttler,1999,1_W. Kuttler_1999,Atmospheric Environment,Pollutant analyzer,None,NO,NOX,g,8,238.5,115.5,8,61,42,Motorway,Park,NA,NA,1_W. Kuttler_1999,1,4,FALSE,1,148,43,78,1_W. Kuttler_1999_case1,case1,obs.148,W. Kuttler_1999_obs.148,g,-1.462488439,0.058777713,-1.297240169,0.024480642,TRUE,0.242441154,0.156462908
W. Kuttler,1999,Germany,Atmospheric Environment,Pollutant analyzer,None,NO,NOX,g,24,197.25,130.25,26,23,20,Motorway,Park,NA,NA,1_W. Kuttler_1999,1,4,FALSE,2,152,47,82,1_W. Kuttler_1999_case2,case2,obs.152,W. Kuttler_1999_obs.152,g,-1.9236813210000001,0.031550069,-1.875765827,0.01265007,TRUE,0.177623392,0.112472532
W. Kuttler,1999,Germany,Atmospheric Environment,Pollutant analyzer,None,NO,NOX,g,13,142,117.25,18,27,23,Motorway,Park,NA,NA,1_W. Kuttler_1999,1,4,FALSE,3,156,51,86,1_W. Kuttler_1999_case3,case3,obs.156,W. Kuttler_1999_obs.156,g,-1.402873114,0.05601746,-1.42493333,0.026207078,TRUE,0.23668008,0.161886003
W. Kuttler,1999,Germany,Atmospheric Environment,Pollutant analyzer,None,NO2,NOX,g,8,84.75,16,8,69,20,Motorway,Park,NA,NA,1_W. Kuttler_1999,1,4,FALSE,4,160,55,90,1_W. Kuttler_1999_case4,case4,obs.160,W. Kuttler_1999_obs.160,g,-0.280289873,0.010760897,-0.226344595,0.00411751,TRUE,0.103734743,0.064167826
W. Kuttler,1999,Germany,Atmospheric Environment,Pollutant analyzer,None,NO2,NOX,g,24,71,19.5,26,37,12,Motorway,Park,NA,NA,1_W. Kuttler_1999,1,4,FALSE,5,164,59,94,1_W. Kuttler_1999_case5,case5,obs.164,W. Kuttler_1999_obs.164,g,-0.739069307,0.00445602,-0.656104718,0.001853976,TRUE,0.066753425,0.043057824
W. Kuttler,1999,Germany,Atmospheric Environment,Pollutant analyzer,None,NO2,NOX,g,13,63.25,25,18,29,12,Motorway,Park,NA,NA,1_W. Kuttler_1999,1,4,FALSE,6,168,63,98,1_W. Kuttler_1999_case6,case6,obs.168,W. Kuttler_1999_obs.168,g,-0.769828297,0.013247313,-0.761710164,0.006134064,TRUE,0.115096972,0.078320267
W. Kuttler,1999,Germany,Atmospheric Environment,Pollutant analyzer,None,O3,O3,g,8,11.5,10,8,22,22,Motorway,Park,NA,NA,1_W. Kuttler_1999,1,4,FALSE,7,172,22,102,1_W. Kuttler_1999_case7,case7,obs.172,W. Kuttler_1999_obs.172,g,0.8956456,0.161191525,0.882553565,0.068329042,TRUE,0.401486644,0.261398244
W. Kuttler,1999,Germany,Atmospheric Environment,Pollutant analyzer,None,O3,O3,g,24,24.25,11.5,26,44,16,Motorway,Park,NA,NA,1_W. Kuttler_1999,1,4,FALSE,8,176,26,106,1_W. Kuttler_1999_case8,case8,obs.176,W. Kuttler_1999_obs.176,g,0.506740475,0.00800059,0.544230374,0.004381141,TRUE,0.089446019,0.066190185
W. Kuttler,1999,Germany,Atmospheric Environment,Pollutant analyzer,None,O3,O3,g,13,13,9.5,18,30,15,Motorway,Park,NA,NA,1_W. Kuttler_1999,1,4,FALSE,9,180,30,110,1_W. Kuttler_1999_case9,case9,obs.180,W. Kuttler_1999_obs.180,g,0.690291506,0.024728129,0.721529643,0.015169715,TRUE,0.157251802,0.123165399
Cohen,2014,"Tel-Aviv, Israel",Environmental Pollution,Pollutant analyzer,NA,NOX,NOX,g,144,281.5,157.5,144,89,92,urban square(winter),urban park(winter),ppb,NA,18_Cohen_2014,18,NA,FALSE,1,196,67,114,18_Cohen_2014_case1,case1,obs.196,Cohen_2014_obs.196,g,-0.900380378,0.008340967,-1.001583558,0.004680397,TRUE,0.091328896,0.068413431
Cohen,2014,"Tel-Aviv, Israel",Environmental Pollution,Pollutant analyzer,NA,NOX,NOX,g,192,27,28.5,192,17,12,urban square(summer),urban park(summer),ppb,NA,18_Cohen_2014,18,NA,FALSE,2,198,69,116,18_Cohen_2014_case2,case2,obs.198,Cohen_2014_obs.198,g,-0.367109299,0.005102673,-0.389472179,0.003890392,TRUE,0.071432999,0.062373006
Cohen,2014,"Tel-Aviv, Israel",Environmental Pollution,Pollutant analyzer,NA,O3,O3,g,144,21,13,144,23,13,urban square(winter),urban park(winter),ppb,NA,18_Cohen_2014,18,NA,FALSE,5,204,34,118,18_Cohen_2014_case5,case5,obs.204,Cohen_2014_obs.204,g,0.087578541,0.003546161,0.08962965,0.002442367,TRUE,0.059549651,0.049420308
Cohen,2014,"Tel-Aviv, Israel",Environmental Pollution,Pollutant analyzer,NA,O3,O3,g,192,33,15.5,192,37,17,urban square(summer),urban park(summer),ppb,NA,18_Cohen_2014,18,NA,FALSE,6,206,36,120,18_Cohen_2014_case6,case6,obs.206,Cohen_2014_obs.206,g,0.111095403,0.001669473,0.112933719,0.001124097,TRUE,0.040859184,0.03352756
Deniz,2016,"Biga Peninsula,Turkey",Science of The Total Environment,Passive sampler+Pollutant analyzer,NA,O3,O3,g,12,71.6,26.5,12,100.7,20.5,suburban,mountain,mug,NA,25_Deniz_2016,25,NA,FALSE,1,208,38,122,25_Deniz_2016_case1,case1,obs.208,Deniz_2016_obs.208,g,0.350021538,0.013126005,0.341364985,0.007454996,FALSE,0.114568778,0.086342319
Desyana,2017,"Bogor,Indonesia",IOP:EES,Pollutant analyzer,NA,NO2,NOX,g,3,67.41,10.38,3,44.84333333,6.033333333,open area,under tree,NA,"distance to the road 0, 10, 30m",27_Desyana_2017,27,NA,FALSE,1,213,71,124,27_Desyana_2017_case1,case1,obs.213,Desyana_2017_obs.213,g,-0.445644299,0.008738653,-0.445434325,0.00421264,FALSE,0.093480761,0.064904852
Duan,2018,"Shenzhen,China",Forests,Pollutant analyzer,NA,O3,O3,g,6,46.2,5.9,6,44.06666667,4.033333333,Urban squre,Foothill,mug,spring,40_Duan_2018,40,NA,FALSE,1,225,40,127,40_Duan_2018_case1,case1,obs.225,Duan_2018_obs.225,g,-0.03436647,0.0030471,-0.043124855,0.001375131,FALSE,0.055200541,0.037082758
Duan,2018,"Shenzhen,China",Forests,Pollutant analyzer,NA,O3,O3,g,6,35.7,3,6,51.83333333,3.033333333,Urban squre,Foothill,mug,summer,40_Duan_2018,40,NA,FALSE,2,228,43,130,40_Duan_2018_case2,case2,obs.228,Duan_2018_obs.228,g,0.41811307,0.001362297,0.372878531,5.93e-4,FALSE,0.036909312,0.024353255
Duan,2018,"Shenzhen,China",Forests,Pollutant analyzer,NA,O3,O3,g,6,37.2,9.7,6,43.43333333,1.733333333,Urban squre,Foothill,mug,autumn,40_Duan_2018,40,NA,FALSE,3,231,46,133,40_Duan_2018_case3,case3,obs.231,Duan_2018_obs.231,g,0.125471851,0.011409552,0.124612966,0.00387275,FALSE,0.106815504,0.062231419
Shao,2004,"Yichang,China",CJOAE,Passive sampler+Pollutant analyzer,NA,SO2,SO2,g,5,0.058,0.048,5,0.059,0.0345,bulding area,green land1,mg,NA,51_Shao_2004,51,NA,FALSE,1,240,15,136,51_Shao_2004_case1,case1,obs.240,Shao_2004_obs.240,g,0.017094433,0.169466285,0.017094433,0.102493897,FALSE,0.411662829,0.320146681
Shao,2004,"Yichang,China",CJOAE,Passive sampler+Pollutant analyzer,NA,NOX,NOX,g,5,0.057,0.02,5,0.054,0.024,bulding area,green land1,mg,NA,51_Shao_2004,51,NA,FALSE,2,242,74,138,51_Shao_2004_case2,case2,obs.242,Shao_2004_obs.242,g,-0.059624367,0.043003762,-0.057577283,0.031337633,FALSE,0.207373485,0.177024387
Kapoor,2013,"Udaipur,India",Environmental Monitoring And Assessment,Passive sampler,NA,SO2,SO2,g,24,11.3,1.5,24,5.6,1.2,urban area,forest area,mug,NA,52_Kapoor_2013,52,NA,FALSE,1,246,17,140,52_Kapoor_2013_case1,case1,obs.246,Kapoor_2013_obs.246,g,-0.993538934,0.002207984,-0.75851249,0.00152785,TRUE,0.04698919,0.039087719
Kapoor,2013,"Udaipur,India",Environmental Monitoring And Assessment,Passive sampler,NA,NOX,NOX,g,24,31.15,8.45,24,30.6,4,urban area,forest area,mug,NA,52_Kapoor_2013,52,NA,FALSE,2,248,76,142,52_Kapoor_2013_case2,case2,obs.248,Kapoor_2013_obs.248,g,-0.017450508,0.002238334,-0.017516814,0.001883891,TRUE,0.047311034,0.043403809
